gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
AC011287.1,0,1.855292069,0.99,0.613,0,EX.UL
CBLN2,0,1.611361872,0.941,0.589,0,EX.UL
HS6ST3,0,1.452910254,0.99,0.738,0,EX.UL
IQCJ-SCHIP1,0,1.426051551,0.992,0.683,0,EX.UL
LINC02306,0,1.423376353,0.772,0.442,0,EX.UL
TAFA1,0,1.418004256,0.986,0.699,0,EX.UL
CUX2,0,1.371803073,0.944,0.565,0,EX.UL
KCNIP4,0,1.355767389,0.999,0.805,0,EX.UL
AC034268.2,0,1.344471217,0.949,0.627,0,EX.UL
LINC01378,0,1.341564984,0.864,0.496,0,EX.UL
AC013287.1,0,1.311375618,0.842,0.519,0,EX.UL
DGKB,0,1.298076945,0.977,0.705,0,EX.UL
LRRTM4,0,1.258386458,0.997,0.811,0,EX.UL
AJ009632.2,0,1.256976636,0.778,0.53,0,EX.UL
CDH18,0,1.249927862,0.979,0.692,0,EX.UL
LINC02263,0,1.243891982,0.833,0.543,0,EX.UL
AL117329.1,0,1.197785627,0.89,0.625,0,EX.UL
LINC02055,0,1.196357435,0.778,0.481,0,EX.UL
LINGO2,0,1.182285985,0.964,0.654,0,EX.UL
LDB2,0,1.173672896,0.982,0.687,0,EX.UL
R3HDM1,0,1.155974126,0.991,0.77,0,EX.UL
AL157944.1,0,1.143854025,0.836,0.496,0,EX.UL
DLGAP2,0,1.131155078,0.987,0.706,0,EX.UL
AC107223.1,0,1.12327637,0.945,0.66,0,EX.UL
LINC01250,0,1.113127822,0.929,0.628,0,EX.UL
EPHA6,0,1.077688827,0.963,0.589,0,EX.UL
LINC02822,0,1.068905226,0.872,0.578,0,EX.UL
GRIA4,0,1.068504024,0.991,0.749,0,EX.UL
RGS6,0,1.062274306,0.956,0.643,0,EX.UL
MLIP,0,1.056941582,0.946,0.638,0,EX.UL
STXBP5L,0,1.038985007,0.989,0.773,0,EX.UL
AC008574.1,0,1.025801275,0.87,0.575,0,EX.UL
MEG3,0,0.998127471,0.996,0.747,0,EX.UL
NDST3,0,0.992742763,0.923,0.601,0,EX.UL
TESPA1,0,0.976305165,0.89,0.518,0,EX.UL
ENC1,0,0.957967439,0.982,0.714,0,EX.UL
CDH12,0,0.940584435,0.946,0.648,0,EX.UL
LINC00507,0,0.925543839,0.904,0.561,0,EX.UL
KCNH1,0,0.913591954,0.972,0.655,0,EX.UL
KCTD16,0,0.909636092,0.978,0.716,0,EX.UL
HOMER1,0,0.909232983,0.977,0.74,0,EX.UL
LINC01331,0,0.901133272,0.905,0.545,0,EX.UL
AL008633.1,0,0.891762461,0.928,0.681,0,EX.UL
SYN3,0,0.88179343,0.883,0.554,0,EX.UL
PHACTR1,0,0.874149533,0.994,0.8,0,EX.UL
CACNA2D3,0,0.873218695,0.956,0.659,0,EX.UL
CA10,0,0.871281721,0.972,0.676,0,EX.UL
FAM153CP,0,0.86816762,0.934,0.616,0,EX.UL
SORBS2,0,0.867349135,0.968,0.724,0,EX.UL
PLEKHA5,0,0.861712662,0.977,0.708,0,EX.UL
SLIT3,0,0.855874578,0.893,0.573,0,EX.UL
GPC6,0,0.855283791,0.97,0.728,0,EX.UL
KIAA1211L,0,0.844579928,0.877,0.622,0,EX.UL
LY86-AS1,0,0.837047015,0.865,0.578,0,EX.UL
AC093607.1,0,0.827122798,0.837,0.581,0,EX.UL
ST6GALNAC5,0,0.824853562,0.914,0.639,0,EX.UL
KHDRBS2,0,0.82298136,0.981,0.745,0,EX.UL
ADGRL2,0,0.82277829,0.962,0.676,0,EX.UL
KCTD1,0,0.805682557,0.908,0.587,0,EX.UL
ASIC2,0,0.799879014,0.955,0.69,0,EX.UL
AL591501.1,0,0.799153805,0.875,0.586,0,EX.UL
PDZD2,0,0.796418828,0.887,0.607,0,EX.UL
CACNG3,0,0.792061107,0.924,0.663,0,EX.UL
SATB2,0,0.788101975,0.921,0.584,0,EX.UL
AC110614.1,0,0.78393592,0.729,0.399,0,EX.UL
FAT3,0,0.781785195,0.93,0.689,0,EX.UL
TAFA2,0,0.776967995,0.965,0.678,0,EX.UL
AC007563.2,0,0.775927426,0.813,0.464,0,EX.UL
LINC01090,0,0.769069049,0.787,0.616,0,EX.UL
MIR137HG,0,0.768630401,0.9,0.587,0,EX.UL
ANO3,0,0.767338336,0.911,0.621,0,EX.UL
RALYL,0,0.765195351,0.979,0.722,0,EX.UL
COL24A1,0,0.752322475,0.914,0.607,0,EX.UL
DLGAP1-AS4,0,0.745388881,0.929,0.623,0,EX.UL
CDH9,0,0.74537746,0.938,0.655,0,EX.UL
FSTL4,0,0.745055788,0.921,0.588,0,EX.UL
AC117453.1,0,0.735918608,0.852,0.606,0,EX.UL
TMEM132D,0,0.734853761,0.967,0.772,0,EX.UL
MAN1A1,0,0.731458302,0.888,0.618,0,EX.UL
GRM1,0,0.728307296,0.87,0.552,0,EX.UL
CDH22,0,0.722577953,0.797,0.454,0,EX.UL
AC067956.1,0,0.71904802,0.819,0.533,0,EX.UL
COL5A2,0,0.715647072,0.734,0.524,0,EX.UL
AC019211.1,0,0.710567056,0.8,0.608,0,EX.UL
LINC02296,0,0.704662846,0.712,0.504,0,EX.UL
GULP1,0,0.7026813,0.838,0.582,0,EX.UL
DOK6,0,0.695075413,0.961,0.717,0,EX.UL
AL391840.1,0,0.688968142,0.863,0.572,0,EX.UL
LINC01122,0,0.677219964,0.902,0.635,0,EX.UL
OLFM3,0,0.676445327,0.909,0.683,0,EX.UL
NELL2,0,0.670470439,0.964,0.693,0,EX.UL
ZNF804B,0,0.662421116,0.934,0.67,0,EX.UL
BASP1-AS1,0,0.659777127,0.886,0.671,0,EX.UL
KCNH7,0,0.658341656,0.961,0.736,0,EX.UL
GRM7,0,0.658008707,0.98,0.724,0,EX.UL
AP000829.1,0,0.657188492,0.728,0.475,0,EX.UL
FAM153B,0,0.656903047,0.856,0.57,0,EX.UL
SLC35F3,0,0.652914353,0.914,0.572,0,EX.UL
PTK2B,0,0.651053252,0.775,0.432,0,EX.UL
KCNIP4-IT1,0,0.649171045,0.87,0.521,0,EX.UL
PTPRR,0,0.645362615,0.934,0.658,0,EX.UL
CABP1,0,0.645353294,0.835,0.502,0,EX.UL
COL26A1,0,0.645166984,0.857,0.614,0,EX.UL
CPNE8,0,0.639801631,0.89,0.598,0,EX.UL
ZFPM2,0,0.638229624,0.923,0.609,0,EX.UL
UNC5D,0,0.633687981,0.923,0.691,0,EX.UL
CNTN4,0,0.624038042,0.981,0.753,0,EX.UL
AC008696.2,0,0.623274279,0.741,0.487,0,EX.UL
ARHGAP10,0,0.622487113,0.937,0.557,0,EX.UL
SV2B,0,0.618015801,0.948,0.625,0,EX.UL
PTPRO,0,0.612815984,0.917,0.71,0,EX.UL
FRMPD4,0,0.611961879,0.971,0.711,0,EX.UL
RFTN1,0,0.611853236,0.874,0.533,0,EX.UL
GLRA3,0,0.610685689,0.844,0.589,0,EX.UL
AQP4-AS1,0,0.605149838,0.843,0.537,0,EX.UL
SNTB2,0,0.603686087,0.878,0.563,0,EX.UL
NWD2,0,0.599455129,0.901,0.608,0,EX.UL
CDH8,0,0.597053638,0.929,0.668,0,EX.UL
GALNTL6,0,0.592814734,0.975,0.726,0,EX.UL
CNTNAP5,0,0.592606108,0.956,0.714,0,EX.UL
NIPAL2,0,0.585978846,0.736,0.488,0,EX.UL
PKN2-AS1,0,0.581913114,0.772,0.552,0,EX.UL
RASGRF2,0,0.579817013,0.94,0.659,0,EX.UL
ERC2,0,0.576087772,0.975,0.691,0,EX.UL
CNTN3,0,0.568698062,0.877,0.653,0,EX.UL
AC092902.4,0,0.565507943,0.842,0.522,0,EX.UL
NECAB1,0,0.56519904,0.92,0.634,0,EX.UL
AC110296.1,0,0.560880013,0.843,0.578,0,EX.UL
KCNB2,0,0.559624659,0.919,0.647,0,EX.UL
EFNA5,0,0.556466553,0.916,0.714,0,EX.UL
SH3GL2,0,0.556247328,0.904,0.661,0,EX.UL
AC021613.1,0,0.556235817,0.587,0.493,0,EX.UL
ADAMTS3,0,0.555947426,0.769,0.523,0,EX.UL
KCNN2,0,0.544918976,0.838,0.606,0,EX.UL
CHN1,0,0.543760794,0.996,0.833,0,EX.UL
LAMB1,0,0.539815199,0.795,0.508,0,EX.UL
ZBBX,0,0.533207883,0.747,0.493,0,EX.UL
HPCAL1,0,0.52292369,0.781,0.52,0,EX.UL
AC073365.1,0,0.522773385,0.763,0.486,0,EX.UL
LINC00326,0,0.522455183,0.531,0.391,0,EX.UL
AC025887.2,0,0.518574288,0.856,0.588,0,EX.UL
RYR2,0,0.517597452,0.962,0.683,0,EX.UL
MCHR2,0,0.517240726,0.835,0.6,0,EX.UL
PDE10A,0,0.51204945,0.965,0.706,0,EX.UL
PVT1,0,0.511079932,0.723,0.517,0,EX.UL
AC007368.1,0,0.506144443,0.751,0.524,0,EX.UL
CADPS2,0,0.499656881,0.841,0.619,0,EX.UL
SORCS1,0,0.488103596,0.926,0.707,0,EX.UL
AC011995.2,0,0.48328655,0.765,0.508,0,EX.UL
AC069133.1,0,0.478376326,0.779,0.502,0,EX.UL
LMO4,0,0.475652343,0.927,0.649,0,EX.UL
CYP1B1-AS1,0,0.471071064,0.648,0.517,0,EX.UL
PRKAG2,0,0.46551591,0.865,0.579,0,EX.UL
HOPX,0,0.465075445,0.807,0.501,0,EX.UL
SNAP25-AS1,0,0.460158739,0.87,0.548,0,EX.UL
RIT2,0,0.456209023,0.805,0.571,0,EX.UL
ZNF385B,0,0.45574273,0.923,0.713,0,EX.UL
PTCHD1-AS,0,0.452166661,0.895,0.587,0,EX.UL
RPL31,0,0.451974791,0.918,0.757,0,EX.UL
KCNH5,0,0.446513236,0.81,0.657,0,EX.UL
TCERG1L,0,0.444061867,0.709,0.553,0,EX.UL
NTNG1,0,0.443846245,0.83,0.642,0,EX.UL
PHYHIP,0,0.443700538,0.837,0.585,0,EX.UL
ARPP19,0,0.440861252,0.965,0.717,0,EX.UL
PTH2R,0,0.440590105,0.7,0.469,0,EX.UL
NRGN,0,0.440388688,0.928,0.732,0,EX.UL
ARL15,0,0.439720987,0.953,0.715,0,EX.UL
GNAL,0,0.437669612,0.818,0.551,0,EX.UL
SLC22A10,0,0.433985063,0.844,0.627,0,EX.UL
PART1,0,0.433582342,0.787,0.542,0,EX.UL
CDH13,0,0.43207481,0.91,0.61,0,EX.UL
CFAP299,0,0.427348529,0.754,0.464,0,EX.UL
CHRM3-AS2,0,0.424749845,0.767,0.542,0,EX.UL
TTC6,0,0.420441752,0.793,0.477,0,EX.UL
CHSY3,0,0.41972109,0.936,0.692,0,EX.UL
TRHDE,0,0.417228567,0.858,0.606,0,EX.UL
LINC00276,0,0.415634612,0.615,0.511,0,EX.UL
MCTP1,0,0.413489132,0.859,0.593,0,EX.UL
GDA,0,0.407214381,0.883,0.581,0,EX.UL
NRG1,0,0.406951432,0.94,0.657,0,EX.UL
PDE7B,0,0.405257771,0.942,0.643,0,EX.UL
SNED1,0,0.405068178,0.784,0.565,0,EX.UL
BICC1,0,0.402577776,0.797,0.591,0,EX.UL
AC087280.2,0,0.399283352,0.879,0.639,0,EX.UL
NELL1,0,0.398649816,0.882,0.707,0,EX.UL
AC097512.1,0,0.397307834,0.748,0.56,0,EX.UL
ANKRD33B,0,0.395354495,0.757,0.573,0,EX.UL
LINC01197,0,0.391852187,0.626,0.456,0,EX.UL
SCHLAP1,0,0.388063369,0.803,0.616,0,EX.UL
STAT4,0,0.387979547,0.601,0.453,0,EX.UL
AC013652.1,0,0.387289937,0.669,0.439,0,EX.UL
KHDRBS2-OT,0,0.386832611,0.779,0.523,0,EX.UL
LAMA2,0,0.383197321,0.701,0.443,0,EX.UL
PTPRK,0,0.380660812,0.943,0.709,0,EX.UL
VWA3A,0,0.380278283,0.556,0.468,0,EX.UL
NETO1,0,0.377200416,0.909,0.709,0,EX.UL
KLHL29,0,0.374172226,0.755,0.593,0,EX.UL
AC011246.1,0,0.373964781,0.586,0.529,0,EX.UL
STXBP5-AS1,0,0.373928987,0.746,0.494,0,EX.UL
DAB1,0,0.372793811,0.961,0.664,0,EX.UL
MGAT4C,0,0.372278394,0.975,0.759,0,EX.UL
VSNL1,0,0.369226505,0.948,0.739,0,EX.UL
SYNPO2,0,0.367386605,0.785,0.555,0,EX.UL
SERPINE2,0,0.36446309,0.902,0.661,0,EX.UL
ART3,0,0.364193616,0.579,0.478,0,EX.UL
P2RY14,0,0.364118104,0.742,0.528,0,EX.UL
PLXNA4,0,0.362343107,0.887,0.641,0,EX.UL
AC002377.1,0,0.361022507,0.694,0.504,0,EX.UL
CRYM,0,0.359775201,0.862,0.541,0,EX.UL
AL583827.1,0,0.359616753,0.784,0.512,0,EX.UL
MEG8,0,0.353536039,0.932,0.732,0,EX.UL
C3orf67-AS1,0,0.353325131,0.841,0.53,0,EX.UL
HTR1E,0,0.351981803,0.652,0.591,0,EX.UL
LINC00710,0,0.34599162,0.665,0.373,0,EX.UL
LINC02552,0,0.345626936,0.561,0.321,0,EX.UL
AC130650.1,0,0.345256008,0.756,0.456,0,EX.UL
BMPER,0,0.345251349,0.853,0.603,0,EX.UL
SLIT2,0,0.344644699,0.842,0.538,0,EX.UL
KIAA2012,0,0.343427624,0.642,0.52,0,EX.UL
FMN1,0,0.343246008,0.828,0.657,0,EX.UL
ACVR1C,0,0.339838119,0.722,0.5,0,EX.UL
MPP7,0,0.337875029,0.691,0.516,0,EX.UL
GAP43,0,0.337215229,0.917,0.709,0,EX.UL
AC022325.2,0,0.336230031,0.664,0.569,0,EX.UL
OLFM1,0,0.33612017,0.963,0.751,0,EX.UL
AC093843.1,0,0.3354016,0.714,0.508,0,EX.UL
AL596451.1,0,0.334684588,0.779,0.475,0,EX.UL
AC138305.1,0,0.334656645,0.682,0.538,0,EX.UL
AC024901.1,0,0.332323732,0.721,0.539,0,EX.UL
LRTM1,0,0.331896313,0.594,0.453,0,EX.UL
AC015943.1,0,0.330851991,0.84,0.509,0,EX.UL
CCDC85A,0,0.326687422,0.882,0.608,0,EX.UL
AC068587.4,0,0.325711538,0.879,0.668,0,EX.UL
SCN3B,0,0.325503654,0.917,0.715,0,EX.UL
ONECUT2,0,0.322813168,0.588,0.516,0,EX.UL
AC008780.1,0,0.320460692,0.777,0.602,0,EX.UL
AC005400.1,0,0.320169337,0.786,0.582,0,EX.UL
TRPC6,0,0.318512619,0.608,0.537,0,EX.UL
AL024495.1,0,0.318223471,0.735,0.576,0,EX.UL
AC110014.1,0,0.317131515,0.7,0.467,0,EX.UL
GSG1L,0,0.314289954,0.862,0.537,0,EX.UL
MIR4500HG,0,0.314139792,0.72,0.501,0,EX.UL
LINC02217,0,0.314084955,0.793,0.56,0,EX.UL
LINC01500,0,0.314076279,0.702,0.505,0,EX.UL
AC016598.2,0,0.312779053,0.691,0.562,0,EX.UL
SIDT1,0,0.309059694,0.672,0.538,0,EX.UL
AL096794.1,0,0.305490166,0.667,0.455,0,EX.UL
SLC24A4,0,0.304682858,0.628,0.439,0,EX.UL
AL353604.1,0,0.303628715,0.769,0.5,0,EX.UL
PCDH8,0,0.302371486,0.756,0.389,0,EX.UL
OTOGL,0,0.301410655,0.788,0.613,0,EX.UL
LAMP5,0,0.298451145,0.592,0.415,0,EX.UL
MIR2052HG,0,0.297476114,0.641,0.539,0,EX.UL
RMST,0,0.296500814,0.63,0.532,0,EX.UL
AC093817.2,0,0.293661529,0.6,0.5,0,EX.UL
AL162493.1,0,0.293084141,0.686,0.405,0,EX.UL
LINC01811,0,0.292994513,0.727,0.507,0,EX.UL
SLC17A7,0,0.292470596,0.921,0.677,0,EX.UL
SNAP25,0,0.292152388,0.986,0.81,0,EX.UL
AC124290.1,0,0.291537353,0.634,0.54,0,EX.UL
IL12A-AS1,0,0.290973014,0.532,0.415,0,EX.UL
CNGB1,0,0.289811326,0.587,0.484,0,EX.UL
XIST,0,0.287994566,0.656,0.578,0,EX.UL
ADAMTS16,0,0.286049935,0.65,0.485,0,EX.UL
SLC38A11,0,0.285987071,0.484,0.409,0,EX.UL
TMTC1,0,0.283275239,0.775,0.564,0,EX.UL
HTR2A,0,0.283018003,0.831,0.577,0,EX.UL
AC016598.1,0,0.282190226,0.759,0.406,0,EX.UL
AC090578.1,0,0.282124223,0.894,0.653,0,EX.UL
DIRC3,0,0.281354613,0.656,0.535,0,EX.UL
AC104827.1,0,0.279615759,0.753,0.531,0,EX.UL
GNG2,0,0.278641802,0.781,0.629,0,EX.UL
FRMD6,0,0.276118952,0.757,0.501,0,EX.UL
NPTX1,0,0.272649369,0.835,0.61,0,EX.UL
PDGFD,0,0.272482347,0.719,0.377,0,EX.UL
CCDC3,0,0.272406673,0.713,0.534,0,EX.UL
SLC30A3,0,0.270040545,0.698,0.51,0,EX.UL
AC002460.2,0,0.270021032,0.697,0.561,0,EX.UL
SEMA6D,0,0.269126177,0.867,0.602,0,EX.UL
PTPRQ,0,0.268448592,0.785,0.547,0,EX.UL
AL133166.1,0,0.26816522,0.697,0.529,0,EX.UL
AC016042.1,0,0.267681835,0.675,0.516,0,EX.UL
AC090579.1,0,0.26562018,0.734,0.534,0,EX.UL
SLC5A4-AS1,0,0.264787653,0.724,0.554,0,EX.UL
AC018697.1,0,0.262280969,0.772,0.543,0,EX.UL
CREG2,0,0.262161791,0.921,0.665,0,EX.UL
LRATD1,0,0.257639045,0.631,0.539,0,EX.UL
MYO1B,0,0.25689461,0.8,0.591,0,EX.UL
TMEM196,0,0.256652685,0.76,0.473,0,EX.UL
LINC00508,0,0.25651449,0.703,0.433,0,EX.UL
FKBP1A,0,0.256291962,0.783,0.525,0,EX.UL
AL138694.1,0,0.255287903,0.72,0.531,0,EX.UL
TSBP1-AS1,0,0.255106408,0.791,0.468,0,EX.UL
AL596087.2,0,0.254391715,0.794,0.553,0,EX.UL
EPHA5,0,0.25423715,0.926,0.693,0,EX.UL
GLIS3,0,0.253974333,0.693,0.494,0,EX.UL
HHAT,0,0.253268175,0.475,0.393,0,EX.UL
PAM,0,0.253115345,0.876,0.628,0,EX.UL
LINC01478,0,0.2529492,0.615,0.481,0,EX.UL
DNAH6,0,0.250626623,0.674,0.486,0,EX.UL
ATP6V0C,0,-0.25223048,0.862,0.729,0,EX.UL
AL445250.1,0,-0.252376584,0.638,0.527,0,EX.UL
RUNX2,0,-0.253063757,0.498,0.47,0,EX.UL
CRH,0,-0.25399914,0.366,0.552,0,EX.UL
SLC35F4,0,-0.254178148,0.61,0.534,0,EX.UL
ADAMTS6,0,-0.25423877,0.524,0.557,0,EX.UL
NRIP3,0,-0.255437988,0.568,0.493,0,EX.UL
HES1,0,-0.255526368,0.587,0.478,0,EX.UL
VEGFA,0,-0.260421167,0.616,0.495,0,EX.UL
PLEKHH2,0,-0.262707907,0.559,0.426,0,EX.UL
EYA4,0,-0.264147852,0.409,0.48,0,EX.UL
LINC01727,0,-0.264621472,0.462,0.409,0,EX.UL
NTN4,0,-0.265024934,0.453,0.547,0,EX.UL
SDC4,0,-0.265077695,0.38,0.418,0,EX.UL
TMSB4X,0,-0.265409374,0.938,0.86,0,EX.UL
YAP1,0,-0.266244271,0.536,0.395,0,EX.UL
FLT1,0,-0.266683813,0.674,0.492,0,EX.UL
COLEC12,0,-0.26757957,0.564,0.544,0,EX.UL
FLI1,0,-0.268218323,0.477,0.515,0,EX.UL
EPAS1,0,-0.268562216,0.569,0.507,0,EX.UL
HTR2C,0,-0.269020095,0.573,0.454,0,EX.UL
AC099792.1,0,-0.269533123,0.586,0.463,0,EX.UL
SOD1,0,-0.269627378,0.747,0.683,0,EX.UL
VAV3,0,-0.270057939,0.47,0.564,0,EX.UL
F11-AS1,0,-0.270476985,0.585,0.511,0,EX.UL
BCL11B,0,-0.27217357,0.385,0.538,0,EX.UL
AC097518.2,0,-0.272726299,0.38,0.49,0,EX.UL
CX3CR1,0,-0.275802215,0.341,0.447,0,EX.UL
LINC02232,0,-0.277794642,0.669,0.535,0,EX.UL
RUNX1,0,-0.278360068,0.525,0.42,0,EX.UL
LGR5,0,-0.278568104,0.495,0.438,0,EX.UL
PLCE1,0,-0.278632019,0.417,0.508,0,EX.UL
ANKFN1,0,-0.281508949,0.591,0.548,0,EX.UL
TLL1,0,-0.282488798,0.484,0.591,0,EX.UL
BNC2,0,-0.282803075,0.507,0.472,0,EX.UL
MT1X,0,-0.283266228,0.474,0.472,0,EX.UL
TMSB10,0,-0.283458099,0.942,0.839,0,EX.UL
PLPP4,0,-0.283971744,0.523,0.433,0,EX.UL
THSD7B,0,-0.284575136,0.537,0.48,0,EX.UL
TPD52L1,0,-0.286154695,0.55,0.436,0,EX.UL
TNR,0,-0.28792443,0.891,0.71,0,EX.UL
EMX2,0,-0.288229675,0.463,0.434,0,EX.UL
ZNRF3,0,-0.28872236,0.66,0.561,0,EX.UL
GABRG1,0,-0.29108842,0.653,0.593,0,EX.UL
ANGPTL4,0,-0.291123748,0.494,0.41,0,EX.UL
LYN,0,-0.291701704,0.566,0.485,0,EX.UL
HS3ST2,0,-0.293448569,0.622,0.56,0,EX.UL
NR2F2-AS1,0,-0.293535957,0.612,0.504,0,EX.UL
PRRX1,0,-0.293830203,0.485,0.456,0,EX.UL
UBASH3B,0,-0.294831849,0.512,0.532,0,EX.UL
PEBP1,0,-0.296385863,0.816,0.723,0,EX.UL
AC106845.1,0,-0.296601663,0.467,0.431,0,EX.UL
SULF2,0,-0.298481826,0.488,0.556,0,EX.UL
ARL4C,0,-0.299452164,0.621,0.596,0,EX.UL
VWC2L,0,-0.299996852,0.554,0.525,0,EX.UL
PID1,0,-0.300493495,0.864,0.64,0,EX.UL
NXPH2,0,-0.301269883,0.402,0.495,0,EX.UL
EYA1,0,-0.30228209,0.472,0.448,0,EX.UL
CAMK2D,0,-0.303151479,0.726,0.65,0,EX.UL
AL109809.5,0,-0.304635625,0.616,0.466,0,EX.UL
UBB,0,-0.306732069,0.737,0.666,0,EX.UL
CSF2RA,0,-0.306871135,0.547,0.467,0,EX.UL
ETNPPL,0,-0.308137664,0.478,0.38,0,EX.UL
TAC1,0,-0.308256733,0.495,0.455,0,EX.UL
MIR3681HG,0,-0.310212896,0.581,0.435,0,EX.UL
SEMA3E,0,-0.311155599,0.487,0.599,0,EX.UL
DOCK11,0,-0.312731652,0.417,0.46,0,EX.UL
MLC1,0,-0.314250439,0.467,0.486,0,EX.UL
LTBP1,0,-0.314699461,0.449,0.455,0,EX.UL
ARHGAP15,0,-0.315012073,0.607,0.549,0,EX.UL
ADCY8,0,-0.315274887,0.523,0.528,0,EX.UL
DLEU1,0,-0.31549371,0.613,0.507,0,EX.UL
CA8,0,-0.316507884,0.471,0.525,0,EX.UL
TBXAS1,0,-0.319802002,0.578,0.463,0,EX.UL
CDC14A,0,-0.320910599,0.591,0.515,0,EX.UL
MT1E,0,-0.32189393,0.422,0.457,0,EX.UL
COL9A1,0,-0.321929242,0.564,0.479,0,EX.UL
GAPDH,0,-0.322081824,0.895,0.793,0,EX.UL
RYR3,0,-0.322604511,0.904,0.701,0,EX.UL
ANK1,0,-0.32435348,0.451,0.501,0,EX.UL
LINC01505,0,-0.326060241,0.557,0.523,0,EX.UL
CSF1R,0,-0.326686545,0.382,0.487,0,EX.UL
VIP,0,-0.32721787,0.44,0.456,0,EX.UL
SHISA6,0,-0.328104045,0.63,0.577,0,EX.UL
PLCXD3,0,-0.329134113,0.429,0.504,0,EX.UL
PDK4,0,-0.330863847,0.358,0.381,0,EX.UL
PAMR1,0,-0.3338827,0.748,0.583,0,EX.UL
ITGA2,0,-0.334675306,0.526,0.387,0,EX.UL
3-Mar,0,-0.334860522,0.542,0.53,0,EX.UL
NHS,0,-0.337806575,0.425,0.529,0,EX.UL
KIT,0,-0.338584219,0.387,0.466,0,EX.UL
AL078590.2,0,-0.339626389,0.463,0.412,0,EX.UL
ALDH1L1,0,-0.340373281,0.393,0.447,0,EX.UL
CPED1,0,-0.340381252,0.52,0.439,0,EX.UL
KIF26B,0,-0.340593174,0.748,0.624,0,EX.UL
PRDM16,0,-0.342005293,0.556,0.513,0,EX.UL
PMP2,0,-0.342760681,0.447,0.467,0,EX.UL
UST,0,-0.344432913,0.818,0.597,0,EX.UL
MRVI1,0,-0.344646094,0.518,0.463,0,EX.UL
IGF1,0,-0.347459057,0.62,0.619,0,EX.UL
AL133346.1,0,-0.34802312,0.514,0.577,0,EX.UL
FAM189A2,0,-0.350221374,0.334,0.457,0,EX.UL
IGFBP7,0,-0.353310342,0.517,0.472,0,EX.UL
CNTN5,0,-0.3611848,0.802,0.704,0,EX.UL
AP1S2,0,-0.363428857,0.388,0.525,0,EX.UL
AC090015.1,0,-0.364214692,0.483,0.449,0,EX.UL
ETV1,0,-0.366561023,0.713,0.621,0,EX.UL
C8orf34,0,-0.368227313,0.832,0.716,0,EX.UL
LRP2,0,-0.370392378,0.445,0.404,0,EX.UL
AL163541.1,0,-0.3710037,0.61,0.441,0,EX.UL
GNA14,0,-0.371386319,0.497,0.464,0,EX.UL
C3,0,-0.375401133,0.461,0.421,0,EX.UL
GRIN3A,0,-0.376080813,0.725,0.537,0,EX.UL
ADAM28,0,-0.376093812,0.377,0.5,0,EX.UL
PDE3A,0,-0.37760244,0.611,0.62,0,EX.UL
HSPA1A,0,-0.383885455,0.623,0.535,0,EX.UL
AC053513.1,0,-0.386286355,0.598,0.524,0,EX.UL
ZFHX3,0,-0.387711017,0.749,0.523,0,EX.UL
GRIK3,0,-0.388171325,0.687,0.596,0,EX.UL
LINC00320,0,-0.389251908,0.567,0.485,0,EX.UL
PTCHD4,0,-0.390391412,0.679,0.551,0,EX.UL
TUBB2B,0,-0.391163212,0.493,0.515,0,EX.UL
CASC15,0,-0.397698772,0.859,0.604,0,EX.UL
BX284613.2,0,-0.399042133,0.722,0.603,0,EX.UL
LINC01630,0,-0.40097087,0.525,0.48,0,EX.UL
ST6GAL1,0,-0.402494705,0.8,0.622,0,EX.UL
HEPN1,0,-0.40312913,0.337,0.442,0,EX.UL
STON2,0,-0.40726021,0.43,0.528,0,EX.UL
ADRA1A,0,-0.408711255,0.615,0.582,0,EX.UL
ALDH1A1,0,-0.409341542,0.573,0.577,0,EX.UL
PCDH11X,0,-0.411542021,0.714,0.607,0,EX.UL
RGS20,0,-0.418370785,0.708,0.585,0,EX.UL
DPP10,0,-0.421338334,0.974,0.755,0,EX.UL
PCSK6,0,-0.424954617,0.705,0.556,0,EX.UL
TXNIP,0,-0.426374504,0.438,0.368,0,EX.UL
BCAN,0,-0.427708308,0.456,0.492,0,EX.UL
ROR1,0,-0.430506795,0.643,0.515,0,EX.UL
BTBD11,0,-0.431242148,0.567,0.437,0,EX.UL
SLC25A18,0,-0.433616727,0.423,0.379,0,EX.UL
MYO16,0,-0.434013543,0.81,0.674,0,EX.UL
RERG,0,-0.434637257,0.436,0.538,0,EX.UL
AGT,0,-0.436877379,0.305,0.458,0,EX.UL
FYB1,0,-0.437036231,0.47,0.326,0,EX.UL
GFAP,0,-0.437383542,0.25,0.392,0,EX.UL
PROX1,0,-0.439310214,0.446,0.469,0,EX.UL
MEGF11,0,-0.44333142,0.45,0.463,0,EX.UL
LINC00844,0,-0.446276184,0.419,0.426,0,EX.UL
SYNPR,0,-0.447676995,0.675,0.512,0,EX.UL
GLI3,0,-0.448327257,0.593,0.458,0,EX.UL
RANBP3L,0,-0.449234749,0.486,0.48,0,EX.UL
AL392086.3,0,-0.451124609,0.562,0.551,0,EX.UL
TNS3,0,-0.456540215,0.463,0.444,0,EX.UL
MERTK,0,-0.457966341,0.427,0.467,0,EX.UL
ALDOC,0,-0.458310059,0.485,0.587,0,EX.UL
SGO1-AS1,0,-0.459917366,0.465,0.511,0,EX.UL
ZFP36L1,0,-0.460223076,0.533,0.495,0,EX.UL
